"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Side"
"Yes","1","male",4,0,2,81.8583,"S","Master","A","Starboard"
"Yes","2","female",13,0,1,19.5,"S","Miss",NA,NA
"Yes","1","male",34,0,0,26.55,"S","Mr",NA,NA
"Yes","3","female",5,2,1,19.2583,"C","Miss",NA,NA
"Yes","1","male",52,0,0,30.5,"S","Officer","C","Starboard"
"No","2","male",36,1,2,27.75,"S","Mr",NA,NA
"No","3","male",30,1,0,19.9667,"S","Mr",NA,NA
"No","1","male",30,0,0,27.75,"C","Mr","C","Port"
"Yes","1","male",49,1,0,89.1042,"C","Mr","C","Starboard"
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","3","male",29,0,0,7.8958,"C","Mr",NA,NA
"No","1","male",65,0,0,26.55,"S","Mr","E","Starboard"
"Yes","1","female",35,1,0,51.8625,"S","Mrs","D","Port"
"Yes","2","female",50,0,0,10.5,"S","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"Yes","1","male",48,0,0,26.55,"S","Mr","E","Starboard"
"No","3","male",34,0,0,8.05,"S","Mr",NA,NA
"No","1","male",47,0,0,38.5,"S","Mr","E","Port"
"No","2","male",48,0,0,13,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","3","male",38,0,0,7.05,"S","Mr",NA,NA
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"No","1","male",56,0,0,26.55,"S","Mr",NA,NA
"No","3","male",30,0,0,7.725,"Q","Mr",NA,NA
"Yes","3","female",0.75,2,1,19.2583,"C","Miss",NA,NA
"No","3","male",30,0,0,7.25,"S","Mr",NA,NA
"No","3","male",38,0,0,8.6625,"S","Mr",NA,NA
"Yes","2","female",33,1,2,27.75,"S","Mrs",NA,NA
"Yes","2","female",23,0,0,13.7917,"C","Mrs","D",NA
"No","3","female",22,0,0,9.8375,"S","Miss",NA,NA
"No","1","male",30,0,0,52,"S","Mr","A","Starboard"
"No","2","male",34,1,0,21,"S","Mr",NA,NA
"No","3","male",29,1,0,7.0458,"S","Mr",NA,NA
"No","3","male",22,0,0,7.5208,"S","Mr",NA,NA
"Yes","3","female",2,0,1,12.2875,"S","Miss",NA,NA
"No","3","male",9,5,2,46.9,"S","Master",NA,NA
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"No","3","male",50,0,0,8.05,"S","Mr",NA,NA
"Yes","3","female",63,0,0,9.5875,"S","Mrs",NA,NA
"Yes","1","male",25,1,0,91.0792,"C","Mr","B","Port"
"No","3","female",21,3,1,25.4667,"S","Miss",NA,NA
"Yes","1","female",35,1,0,90,"S","Mrs","C","Port"
"No","1","male",58,0,0,29.7,"C","Mr","B","Port"
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","3","male",9,1,1,15.9,"S","Master",NA,NA
"No","3","male",30,1,0,19.9667,"S","Mr",NA,NA
"No","3","male",21,0,0,7.25,"S","Mr",NA,NA
"No","1","male",55,0,0,30.5,"S","Mr","C","Starboard"
"No","1","male",71,0,0,49.5042,"C","Mr",NA,NA
"No","3","male",21,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,0,0,14.4583,"C","Mr",NA,NA
"Yes","1","female",54,1,0,78.2667,"C","Miss","D","Starboard"
"No","3","male",30,0,0,15.1,"S","Mr",NA,NA
"No","1","female",25,1,2,151.55,"S","Mrs","C","Starboard"
"No","3","male",24,0,0,7.7958,"S","Mr",NA,NA
"No","3","male",17,0,0,8.6625,"S","Mr",NA,NA
"No","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","3","female",21,0,0,7.6292,"Q","Miss",NA,NA
"No","3","female",37,0,0,9.5875,"S","Miss",NA,NA
"Yes","1","female",16,0,0,86.5,"S","Miss","B","Port"
"No","1","male",18,1,0,108.9,"C","Mr","C","Port"
"Yes","2","female",33,0,2,26,"S","Mrs",NA,NA
"Yes","1","male",30,0,0,26.55,"S","Mr",NA,NA
"No","3","male",28,0,0,22.525,"S","Mr",NA,NA
"Yes","3","male",26,0,0,56.4958,"S","Mr",NA,NA
"Yes","3","male",29,0,0,7.75,"Q","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","1","male",36,0,0,26.2875,"S","Mr","E","Port"
"Yes","1","female",54,1,0,59.4,"C","Mrs",NA,NA
"No","3","male",24,0,0,7.4958,"S","Mr",NA,NA
"No","1","male",47,0,0,34.0208,"S","Mr","D","Starboard"
"Yes","2","female",34,0,0,10.5,"S","Mrs","F","Port"
"No","3","male",30,0,0,24.15,"Q","Mr",NA,NA
"Yes","2","female",36,1,0,26,"S","Mrs",NA,NA
"No","3","male",32,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","female",30,0,0,93.5,"S","Miss","B","Port"
"No","3","male",22,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"Yes","1","female",44,0,1,57.9792,"C","Mrs","B","Starboard"
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","male",40.5,0,0,7.75,"Q","Mr",NA,NA
"Yes","2","female",50,0,0,10.5,"S","Miss",NA,NA
"No","1","male",30,0,0,221.7792,"S","Mr","C","Port"
"No","3","male",39,0,0,7.925,"S","Mr",NA,NA
"No","2","male",23,2,1,11.5,"S","Mr",NA,NA
"Yes","2","female",2,1,1,26,"S","Miss",NA,NA
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","male",17,1,1,7.2292,"C","Mr",NA,NA
"Yes","3","female",35,0,2,22.3583,"C","Mrs",NA,NA
"No","3","female",30,0,0,8.6625,"S","Miss",NA,NA
"Yes","2","female",7,0,2,26.25,"S","Miss",NA,NA
"No","1","male",45,0,0,26.55,"S","Officer","B","Starboard"
"Yes","1","female",30,0,0,106.425,"C","Miss",NA,NA
"No","3","male",30,0,0,14.5,"S","Mr",NA,NA
"Yes","1","female",22,0,2,49.5,"C","Miss","B","Port"
"Yes","1","female",36,0,2,71,"S","Miss","B","Starboard"
"No","3","female",9,4,2,31.275,"S","Miss",NA,NA
"No","3","female",11,4,2,31.275,"S","Miss",NA,NA
"Yes","2","male",32,1,0,26,"S","Mr",NA,NA
"No","1","male",50,1,0,106.425,"C","Mr","C","Starboard"
"No","1","male",64,0,0,26,"S","Mr",NA,NA
"Yes","2","female",19,1,0,26,"S","Mrs",NA,NA
"Yes","2","male",30,0,0,13.8625,"C","Mr",NA,NA
"No","3","male",33,1,1,20.525,"S","Mr",NA,NA
"Yes","2","male",8,1,1,36.75,"S","Master",NA,NA
"Yes","1","male",17,0,2,110.8833,"C","Mr","C","Starboard"
"No","2","male",27,0,0,26,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8292,"Q","Mr",NA,NA
"Yes","3","male",22,0,0,7.225,"C","Mr",NA,NA
"Yes","3","female",22,0,0,7.775,"S","Miss",NA,NA
"No","1","male",62,0,0,26.55,"S","Mr",NA,NA
"Yes","1","female",48,1,0,39.6,"C","Noble","A","Starboard"
"No","1","male",30,0,0,227.525,"C","Mr",NA,NA
"Yes","1","female",39,1,1,79.65,"S","Mrs","E","Port"
"Yes","3","female",36,1,0,17.4,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"No","3","male",40,0,0,7.8958,"S","Mr",NA,NA
"No","2","male",28,0,0,13.5,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","3","female",21,0,0,8.05,"S","Miss",NA,NA
"No","3","male",24,2,0,24.15,"S","Mr",NA,NA
"No","3","male",19,0,0,7.8958,"S","Mr",NA,NA
"No","3","female",29,0,4,21.075,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"Yes","3","male",32,0,0,7.8542,"S","Mr",NA,NA
"Yes","2","male",62,0,0,10.5,"S","Mr",NA,NA
"Yes","1","female",53,2,0,51.4792,"S","Mrs","C","Port"
"Yes","1","male",36,0,0,26.3875,"S","Mr","E","Port"
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","3","male",16,0,0,8.05,"S","Mr",NA,NA
"No","3","male",19,0,0,14.5,"S","Mr",NA,NA
"Yes","2","female",34,0,0,13,"S","Miss",NA,NA
"Yes","1","female",39,1,0,55.9,"S","Mrs","E","Starboard"
"No","3","female",35,1,0,14.4583,"C","Mrs",NA,NA
"Yes","3","male",32,0,0,7.925,"S","Mr",NA,NA
"Yes","2","female",25,1,1,30,"S","Miss",NA,NA
"Yes","1","female",39,1,1,110.8833,"C","Mrs","C","Starboard"
"No","2","male",54,0,0,26,"S","Mr",NA,NA
"No","1","male",36,0,0,40.125,"C","Mr","A","Starboard"
"No","3","male",30,0,0,8.7125,"C","Mr",NA,NA
"Yes","1","female",18,0,2,79.65,"S","Miss","E","Starboard"
"No","2","male",47,0,0,15,"S","Mr",NA,NA
"Yes","1","male",60,1,1,79.2,"C","Mr","B","Port"
"No","3","male",22,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"No","3","male",35,0,0,7.125,"S","Mr",NA,NA
"Yes","1","female",52,1,0,78.2667,"C","Mrs","D","Starboard"
"No","3","male",47,0,0,7.25,"S","Mr",NA,NA
"No","3","female",21,0,2,7.75,"Q","Miss",NA,NA
"No","2","male",37,1,0,26,"S","Mr",NA,NA
"No","3","male",36,1,1,24.15,"S","Mr",NA,NA
"Yes","2","female",21,0,0,33,"S","Miss",NA,NA
"No","3","male",49,0,0,0,"S","Mr",NA,NA
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"Yes","1","male",49,1,0,56.9292,"C","Noble","A","Starboard"
"Yes","2","female",24,2,1,27,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","1","male",30,0,0,42.4,"S","Mr",NA,NA
"No","3","male",44,0,0,8.05,"S","Mr",NA,NA
"Yes","1","male",35,0,0,26.55,"C","Mr",NA,NA
"No","3","male",36,1,0,15.55,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","male",27,0,0,30.5,"S","Mr",NA,NA
"Yes","2","female",22,1,2,41.5792,"C","Mrs",NA,NA
"Yes","1","female",40,0,0,153.4625,"S","Miss","C","Port"
"No","3","female",39,1,5,31.275,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.05,"S","Mr",NA,NA
"Yes","3","female",21,1,0,15.5,"Q","Miss",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"No","3","male",35,0,0,8.05,"S","Mr",NA,NA
"Yes","2","female",24,1,2,65,"S","Miss",NA,NA
"No","3","male",34,1,1,14.4,"S","Mr",NA,NA
"No","3","female",26,1,0,16.1,"S","Mrs",NA,NA
"Yes","2","female",4,2,1,39,"S","Miss","F","Starboard"
"No","2","male",26,0,0,10.5,"S","Mr",NA,NA
"No","3","male",27,1,0,14.4542,"C","Mr",NA,NA
"Yes","1","male",42,1,0,52.5542,"S","Mr","D","Port"
"Yes","3","male",20,1,1,15.7417,"C","Mr",NA,NA
"No","3","male",21,0,0,7.8542,"S","Mr",NA,NA
"No","3","male",21,0,0,16.1,"S","Mr",NA,NA
"No","1","male",61,0,0,32.3208,"S","Mr","D","Starboard"
"No","2","male",57,0,0,12.35,"Q","Officer",NA,NA
"Yes","1","female",21,0,0,77.9583,"S","Miss","D","Port"
"No","3","male",26,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,7.7333,"Q","Mr",NA,NA
"Yes","1","male",80,0,0,30,"S","Mr","A","Port"
"No","3","male",51,0,0,7.0542,"S","Mr",NA,NA
"Yes","1","male",32,0,0,30.5,"C","Officer","B","Starboard"
"No","1","male",30,0,0,0,"S","Mr",NA,NA
"No","3","female",9,3,2,27.9,"S","Miss",NA,NA
"Yes","2","female",28,0,0,13,"S","Miss",NA,NA
"No","3","male",32,0,0,7.925,"S","Mr",NA,NA
"No","2","male",31,1,1,26.25,"S","Mr",NA,NA
"No","3","female",41,0,5,39.6875,"S","Mrs",NA,NA
"No","3","male",30,1,0,16.1,"S","Mr",NA,NA
"No","3","male",20,0,0,7.8542,"S","Mr",NA,NA
"Yes","1","female",24,0,0,69.3,"C","Miss","B","Port"
"No","3","female",2,3,2,27.9,"S","Miss",NA,NA
"Yes","3","male",30,0,0,56.4958,"S","Mr",NA,NA
"Yes","3","female",0.75,2,1,19.2583,"C","Miss",NA,NA
"Yes","1","male",48,1,0,76.7292,"C","Mr","D","Port"
"No","3","male",19,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","male",56,0,0,35.5,"C","Officer","A","Starboard"
"No","3","male",30,0,0,7.55,"S","Mr",NA,NA
"Yes","3","female",23,0,0,7.55,"S","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"Yes","2","female",18,0,1,23,"S","Miss",NA,NA
"No","3","male",21,0,0,8.4333,"S","Mr",NA,NA
"Yes","3","female",21,0,0,7.8292,"Q","Miss",NA,NA
"No","3","female",18,0,0,6.75,"Q","Miss",NA,NA
"No","2","male",24,2,0,73.5,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","3","female",32,1,1,15.5,"Q","Mrs",NA,NA
"No","2","male",23,0,0,13,"S","Mr",NA,NA
"No","1","male",58,0,2,113.275,"C","Mr","D","Starboard"
"Yes","1","male",50,2,0,133.65,"S","Officer",NA,NA
"No","3","male",40,0,0,7.225,"C","Mr",NA,NA
"No","1","male",47,0,0,25.5875,"S","Mr","E","Starboard"
"No","3","male",36,0,0,7.4958,"S","Mr",NA,NA
"Yes","3","male",20,1,0,7.925,"S","Mr",NA,NA
"No","2","male",32,2,0,73.5,"S","Mr",NA,NA
"No","2","male",25,0,0,13,"S","Mr",NA,NA
"No","3","male",30,0,0,7.775,"S","Mr",NA,NA
"No","3","male",43,0,0,8.05,"S","Mr",NA,NA
"Yes","1","female",35,1,0,52,"S","Mrs","C","Starboard"
"Yes","2","female",40,1,1,39,"S","Mrs",NA,NA
"No","1","male",31,1,0,52,"S","Mr","B","Port"
"No","2","male",70,0,0,10.5,"S","Mr",NA,NA
"Yes","2","male",31,0,0,13,"S","Mr",NA,NA
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"No","3","male",18,0,0,7.775,"S","Mr",NA,NA
"No","3","male",24.5,0,0,8.05,"S","Mr",NA,NA
"Yes","3","female",18,0,0,9.8417,"S","Miss",NA,NA
"No","3","female",43,1,6,46.9,"S","Mrs",NA,NA
"Yes","1","male",36,0,1,512.3292,"C","Mr","B","Port"
"No","3","female",21,0,0,8.1375,"Q","Miss",NA,NA
"Yes","1","male",27,0,0,76.7292,"C","Mr","D","Port"
"No","3","male",20,0,0,9.225,"S","Mr",NA,NA
"No","3","male",14,5,2,46.9,"S","Mr",NA,NA
"No","2","male",60,1,1,39,"S","Mr",NA,NA
"No","2","male",25,1,2,41.5792,"C","Mr",NA,NA
"No","3","male",14,4,1,39.6875,"S","Mr",NA,NA
"No","3","male",19,0,0,10.1708,"S","Mr",NA,NA
"No","3","male",18,0,0,7.7958,"S","Mr",NA,NA
"Yes","1","female",15,0,1,211.3375,"S","Miss","B","Port"
"Yes","1","male",31,1,0,57,"S","Mr","B","Starboard"
"Yes","3","female",4,0,1,13.4167,"C","Miss",NA,NA
"Yes","3","male",30,0,0,56.4958,"S","Mr",NA,NA
"No","3","male",25,0,0,7.225,"C","Mr",NA,NA
"No","1","male",60,0,0,26.55,"S","Officer",NA,NA
"No","2","male",52,0,0,13.5,"S","Mr",NA,NA
"No","3","male",44,0,0,8.05,"S","Mr",NA,NA
"Yes","3","female",21,0,0,7.7333,"Q","Miss",NA,NA
"No","1","male",49,1,1,110.8833,"C","Mr","C","Starboard"
"No","3","male",42,0,0,7.65,"S","Mr","F","Port"
"Yes","1","female",18,1,0,227.525,"C","Mrs","C","Starboard"
"Yes","1","male",35,0,0,26.2875,"S","Mr","E","Starboard"
"No","3","female",18,0,1,14.4542,"C","Miss",NA,NA
"No","3","male",25,0,0,7.7417,"Q","Mr",NA,NA
"No","3","male",26,1,0,7.8542,"S","Mr",NA,NA
"No","2","male",39,0,0,26,"S","Mr",NA,NA
"Yes","2","female",45,0,0,13.5,"S","Mrs",NA,NA
"Yes","1","male",42,0,0,26.2875,"S","Mr","E","Starboard"
"Yes","1","female",22,0,0,151.55,"S","Miss",NA,NA
"Yes","3","male",3.5,1,1,15.2458,"C","Master",NA,NA
"Yes","1","female",24,0,0,49.5042,"C","Miss","C","Starboard"
"No","1","male",30,0,0,26.55,"S","Mr","C","Starboard"
"Yes","1","male",48,1,0,52,"S","Mr","C","Starboard"
"No","3","male",29,0,0,9.4833,"S","Mr",NA,NA
"No","2","male",52,0,0,13,"S","Mr",NA,NA
"No","3","male",19,0,0,7.65,"S","Mr","F","Port"
"Yes","1","female",38,0,0,227.525,"C","Miss","C","Port"
"Yes","2","female",27,0,0,10.5,"S","Miss","E","Port"
"No","3","male",30,0,0,15.5,"Q","Mr",NA,NA
"No","3","male",33,0,0,7.775,"S","Mr",NA,NA
"Yes","2","female",6,0,1,33,"S","Miss",NA,NA
"No","3","male",17,1,0,7.0542,"S","Mr",NA,NA
"No","2","male",34,0,0,13,"S","Mr",NA,NA
"No","2","male",50,0,0,13,"S","Mr",NA,NA
"Yes","1","male",27,1,0,53.1,"S","Mr","E","Starboard"
"No","3","male",20,0,0,8.6625,"S","Mr",NA,NA
"Yes","2","female",30,3,0,21,"S","Mrs",NA,NA
"Yes","3","female",21,0,0,7.7375,"Q","Miss",NA,NA
"No","2","male",25,1,0,26,"S","Mr",NA,NA
"No","3","female",25,1,0,7.925,"S","Miss",NA,NA
"Yes","1","female",29,0,0,211.3375,"S","Miss","B","Port"
"No","3","male",11,0,0,18.7875,"C","Mr",NA,NA
"No","2","male",30,0,0,0,"S","Mr",NA,NA
"No","2","male",23,0,0,13,"S","Mr",NA,NA
"No","2","male",23,0,0,13,"S","Mr",NA,NA
"No","3","male",28.5,0,0,16.1,"S","Mr",NA,NA
"No","3","female",48,1,3,34.375,"S","Mrs",NA,NA
"Yes","1","male",35,0,0,512.3292,"C","Mr","B","Port"
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","male",30,0,0,30,"S","Mr","D","Port"
"No","1","male",36,1,0,78.85,"S","Mr","C","Starboard"
"Yes","1","female",21,2,2,262.375,"C","Miss","B","Starboard"
"No","3","male",24,1,0,16.1,"S","Mr",NA,NA
"Yes","3","male",31,0,0,7.925,"S","Mr",NA,NA
"No","1","male",70,1,1,71,"S","Officer","B","Starboard"
"No","3","male",16,1,1,20.25,"S","Mr",NA,NA
"Yes","2","female",30,0,0,13,"S","Miss",NA,NA
"No","1","male",19,1,0,53.1,"S","Mr","D","Starboard"
"No","3","male",31,0,0,7.75,"Q","Mr",NA,NA
"Yes","2","female",4,1,1,23,"S","Miss",NA,NA
"Yes","3","male",6,0,1,12.475,"S","Master","E","Port"
"No","3","male",33,0,0,9.5,"S","Mr",NA,NA
"No","3","male",23,0,0,7.8958,"S","Mr",NA,NA
"Yes","2","female",48,1,2,65,"S","Mrs",NA,NA
"Yes","2","male",0.67,1,1,14.5,"S","Master",NA,NA
"No","3","male",28,0,0,7.7958,"S","Mr",NA,NA
"No","2","male",18,0,0,11.5,"S","Mr",NA,NA
"No","3","male",34,0,0,8.05,"S","Mr",NA,NA
"Yes","1","female",33,0,0,86.5,"S","Noble","B","Port"
"No","3","male",30,0,0,14.5,"S","Mr",NA,NA
"No","3","male",41,0,0,7.125,"S","Mr",NA,NA
"Yes","3","male",20,0,0,7.2292,"C","Mr",NA,NA
"Yes","1","female",36,1,2,120,"S","Mrs","B","Starboard"
"No","3","male",16,0,0,7.775,"S","Mr",NA,NA
"Yes","1","female",51,1,0,77.9583,"S","Mrs","D","Port"
"No","1","male",50,0,0,39.6,"C","Officer",NA,NA
"No","3","female",30.5,0,0,7.75,"Q","Miss",NA,NA
"No","3","male",30,1,0,24.15,"Q","Mr",NA,NA
"No","3","male",32,0,0,8.3625,"S","Mr",NA,NA
"No","3","male",24,0,0,9.5,"S","Mr",NA,NA
"No","3","male",48,0,0,7.8542,"S","Mr",NA,NA
"No","2","female",57,0,0,10.5,"S","Mrs","E","Port"
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"Yes","2","female",54,1,3,23,"S","Mrs",NA,NA
"No","3","male",18,0,0,7.75,"S","Mr",NA,NA
"No","3","male",30,0,0,7.75,"Q","Mr","F","Starboard"
"Yes","3","female",5,0,0,12.475,"S","Miss",NA,NA
"No","3","male",30,0,0,7.7375,"Q","Mr",NA,NA
"Yes","1","female",43,0,1,211.3375,"S","Mrs","B","Port"
"Yes","3","female",13,0,0,7.2292,"C","Miss",NA,NA
"Yes","1","female",17,1,0,57,"S","Mrs","B","Starboard"
"No","1","male",29,0,0,30,"S","Mr","D","Starboard"
"No","3","male",30,1,2,23.45,"S","Mr",NA,NA
"No","3","male",25,0,0,7.05,"S","Mr",NA,NA
"No","3","male",25,0,0,7.25,"S","Mr",NA,NA
"Yes","3","female",18,0,0,7.4958,"S","Miss",NA,NA
"No","3","male",8,4,1,29.125,"Q","Master",NA,NA
"Yes","3","male",1,1,2,20.575,"S","Master",NA,NA
"No","1","male",46,0,0,79.2,"C","Mr","B","Starboard"
"No","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"No","2","male",16,0,0,26,"S","Mr",NA,NA
"No","3","female",21,8,2,69.55,"S","Miss",NA,NA
"No","1","male",30,0,0,30.6958,"C","Mr",NA,NA
"No","3","male",25,0,0,7.8958,"S","Mr",NA,NA
"No","2","male",39,0,0,13,"S","Mr",NA,NA
"Yes","1","female",49,0,0,25.9292,"S","Officer","D","Port"
"Yes","3","female",31,0,0,8.6833,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","female",30,1,1,24.15,"S","Mrs",NA,NA
"No","2","male",34,0,0,13,"S","Mr",NA,NA
"Yes","2","female",31,1,1,26.25,"S","Mrs",NA,NA
"Yes","1","male",11,1,2,120,"S","Master","B","Starboard"
"Yes","3","male",0.42,0,1,8.5167,"C","Master",NA,NA
"Yes","3","male",27,0,0,6.975,"S","Mr",NA,NA
"No","3","male",31,0,0,7.775,"S","Mr",NA,NA
"No","1","male",39,0,0,0,"S","Mr","A","Starboard"
"No","3","female",18,0,0,7.775,"S","Miss",NA,NA
"No","2","male",39,0,0,13,"S","Mr",NA,NA
"Yes","1","female",33,1,0,53.1,"S","Mrs","E","Starboard"
"No","3","male",26,0,0,7.8875,"S","Mr",NA,NA
"No","3","male",39,0,0,24.15,"S","Mr",NA,NA
"No","2","male",35,0,0,10.5,"S","Mr",NA,NA
"No","3","female",6,4,2,31.275,"S","Miss",NA,NA
"No","3","male",30.5,0,0,8.05,"S","Mr",NA,NA
"No","1","male",30,0,0,0,"S","Mr","B","Starboard"
"No","3","female",23,0,0,7.925,"S","Miss",NA,NA
"No","2","male",31,1,1,37.0042,"C","Mr",NA,NA
"No","3","male",43,0,0,6.45,"S","Mr",NA,NA
"No","3","male",10,3,2,27.9,"S","Master",NA,NA
"Yes","1","female",52,1,1,93.5,"S","Mrs","B","Port"
"Yes","3","male",27,0,0,8.6625,"S","Mr",NA,NA
"No","1","male",38,0,0,0,"S","Noble",NA,NA
"Yes","3","female",27,0,1,12.475,"S","Mrs","E","Port"
"No","3","male",2,4,1,39.6875,"S","Master",NA,NA
"No","3","male",30,0,0,6.95,"Q","Mr",NA,NA
"No","3","male",30,0,0,56.4958,"S","Mr",NA,NA
"Yes","2","male",1,0,2,37.0042,"C","Master",NA,NA
"Yes","3","male",30,0,0,7.75,"Q","Mr",NA,NA
"Yes","1","female",62,0,0,80,NA,"Mrs","B","Starboard"
"Yes","3","female",15,1,0,14.4542,"C","Mrs",NA,NA
"Yes","2","male",0.83,1,1,18.75,"S","Master",NA,NA
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","male",23,0,0,7.8542,"S","Mr",NA,NA
"No","3","male",18,0,0,8.3,"S","Mr",NA,NA
"Yes","1","female",39,1,1,83.1583,"C","Miss","E","Port"
"No","3","male",21,0,0,8.6625,"S","Mr",NA,NA
"No","3","male",30,0,0,8.05,"S","Mr",NA,NA
"Yes","3","male",32,0,0,56.4958,"S","Mr",NA,NA
"Yes","1","male",30,0,0,29.7,"C","Mr","C","Port"
"No","3","male",20,0,0,7.925,"S","Mr",NA,NA
"No","2","male",16,0,0,10.5,"S","Mr",NA,NA
"Yes","1","female",30,0,0,31,"C","Miss",NA,NA
"No","3","male",34.5,0,0,6.4375,"C","Mr",NA,NA
"No","3","male",17,0,0,8.6625,"S","Mr",NA,NA
"No","3","male",42,0,0,7.55,"S","Mr",NA,NA
"No","3","male",30,8,2,69.55,"S","Mr",NA,NA
"No","3","male",35,0,0,7.8958,"C","Mr",NA,NA
"No","2","male",28,0,1,33,"S","Officer",NA,NA
"Yes","1","female",35,1,0,89.1042,"C","Mrs","C","Starboard"
"No","3","male",4,4,2,31.275,"S","Master",NA,NA
"No","3","male",74,0,0,7.775,"S","Mr",NA,NA
"No","3","female",9,1,1,15.2458,"C","Miss",NA,NA
"Yes","1","female",16,0,1,39.4,"S","Miss","D","Starboard"
"No","2","female",44,1,0,26,"S","Mrs",NA,NA
"Yes","3","female",18,0,1,9.35,"S","Mrs",NA,NA
"Yes","1","female",45,1,1,164.8667,"S","Mrs",NA,NA
"Yes","1","male",51,0,0,26.55,"S","Mr","E","Port"
"Yes","3","female",24,0,3,19.2583,"C","Mrs",NA,NA
"No","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","male",41,2,0,14.1083,"S","Mr",NA,NA
"No","2","male",21,1,0,11.5,"S","Mr",NA,NA
"Yes","1","female",48,0,0,25.9292,"S","Mrs","D","Port"
"No","3","female",21,8,2,69.55,"S","Miss",NA,NA
"No","2","male",24,0,0,13,"S","Mr",NA,NA
"Yes","2","female",42,0,0,13,"S","Mrs",NA,NA
"Yes","2","female",27,1,0,13.8583,"C","Miss",NA,NA
"No","1","male",31,0,0,50.4958,"S","Mr","A","Starboard"
"No","3","male",30,0,0,9.5,"S","Mr",NA,NA
"Yes","3","male",4,1,1,11.1333,"S","Master",NA,NA
"No","3","male",26,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","female",47,1,1,52.5542,"S","Mrs","D","Port"
"No","1","male",33,0,0,5,"S","Mr","B","Port"
"No","3","male",47,0,0,9,"S","Mr",NA,NA
"Yes","2","female",28,1,0,24,"C","Mrs",NA,NA
"Yes","3","female",15,0,0,7.225,"C","Miss",NA,NA
"No","3","male",20,0,0,9.8458,"S","Mr",NA,NA
"No","3","male",19,0,0,7.8958,"S","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"Yes","1","female",56,0,1,83.1583,"C","Mrs","C","Starboard"
"Yes","2","female",25,0,1,26,"S","Mrs",NA,NA
"No","3","male",33,0,0,7.8958,"S","Mr",NA,NA
"No","3","female",22,0,0,10.5167,"S","Miss",NA,NA
"No","2","male",28,0,0,10.5,"S","Mr",NA,NA
"No","3","male",25,0,0,7.05,"S","Mr",NA,NA
"No","3","female",39,0,5,29.125,"Q","Mrs",NA,NA
"No","2","male",27,0,0,13,"S","Officer",NA,NA
"Yes","1","female",19,0,0,30,"S","Miss","B","Starboard"
"No","3","female",21,1,2,23.45,"S","Miss",NA,NA
"Yes","1","male",26,0,0,30,"C","Mr","C","Starboard"
"No","3","male",32,0,0,7.75,"Q","Mr",NA,NA
